"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
6.47374289855632e-314,13103,"西久保城山遺跡",35.66585452,139.7441082,"0","0","0","0","0","0","1","0","0"
6.47374294845695e-314,13103,"芝神谷町町屋跡遺跡",35.66363703,139.745224,"0","0","0","0","0","0","0","1","0"
6.47374294895102e-314,13103,"芝神谷町町屋跡第2遺跡",35.66320468,139.7449322,"0","0","0","0","0","0","0","1","0"
6.47374299736945e-314,13103,"太田道灌城跡",35.66328836,139.7431469,"0","0","0","0","0","0","1","0","0"
6.47374304677602e-314,13103,"西久保八幡貝塚",35.66141948,139.7427521,"0","1","0","0","0","0","0","0","0"
6.47374309618258e-314,13103,"港区№19遺跡",35.66500153,139.7524818,"0","0","0","0","0","0","0","1","0"
6.47374314558915e-314,13103,"播磨赤穂藩森家屋敷跡遺跡",35.65864238,139.7571771,"0","0","0","0","0","0","0","1","0"
6.47374319499571e-314,13103,"旧芝離宮庭園遺跡",35.65480671,139.7586597,"0","0","0","0","0","0","0","1","0"
6.47374324489634e-314,13103,"増上寺子院群　光学院・貞松院跡遺跡",35.65818211,139.7518276,"0","0","0","0","0","0","0","1","0"
6.47374324539041e-314,13103,"増上寺子院群　源興院跡遺跡",35.6576242,139.7512096,"0","0","0","0","0","0","0","1","0"
6.47374324588447e-314,13103,"増上寺子院群　華陽院跡遺跡",35.65839133,139.7525657,"0","0","0","0","0","0","0","1","0"
6.47374324637854e-314,13103,"増上寺子院群　徳水院墓地跡遺跡",35.6570105,139.7516902,"0","0","0","0","0","0","0","1","0"
6.4737432468726e-314,13103,"増上寺子院群　常照院跡遺跡",35.65756841,139.7515014,"0","0","0","0","0","0","0","1","0"
6.47374324736667e-314,13103,"増上寺子院群　池徳院跡・花岳院跡遺跡",35.6579729,139.7523597,"0","0","0","0","0","0","0","1","0"
6.47374329380884e-314,13103,"丸山貝塚",35.65458354,139.7485145,"0","1","0","0","0","0","0","0","0"
6.4737433432154e-314,13103,"丸山古墳",35.65494619,139.7479137,"0","0","0","1","0","0","0","0","0"
6.47374339262197e-314,13103,"丸山古墳群",35.65553201,139.7474845,"0","0","0","1","0","0","0","0","0"
6.47374339311603e-314,13103,"丸山古墳群　1号墳",35.65461143,139.7474502,"0","0","0","1","0","0","0","0","0"
6.4737433936101e-314,13103,"丸山古墳群　2号墳",35.6548625,139.7468494,"0","0","0","1","0","0","0","0","0"
6.47374339410417e-314,13103,"丸山古墳群　3号墳",35.65519726,139.7466262,"0","0","0","1","0","0","0","0","0"
6.47374339459823e-314,13103,"丸山古墳群　4号墳",35.65565755,139.7464889,"0","0","0","1","0","0","0","0","0"
6.4737433950923e-314,13103,"丸山古墳群　5号墳",35.65610388,139.7465232,"0","0","0","1","0","0","0","0","0"
6.47374339558636e-314,13103,"丸山古墳群　6号墳",35.65646653,139.7468494,"0","0","0","1","0","0","0","0","0"
6.47374339608043e-314,13103,"丸山古墳群　7号墳",35.6563131,139.7473129,"0","0","0","1","0","0","0","0","0"
6.47374339657449e-314,13103,"丸山古墳群　8号墳",35.65645258,139.7477249,"0","0","0","1","0","0","0","0","0"
6.47374339706856e-314,13103,"丸山古墳群　9号墳",35.65628521,139.748051,"0","0","0","1","0","0","0","0","0"
6.47374344202853e-314,13103,"港区№26遺跡",35.65747078,139.7473472,"0","0","0","1","0","0","0","0","0"
6.4737434914351e-314,13103,"港区№27遺跡",35.65784737,139.7473987,"0","0","1","0","0","0","0","0","0"
6.47374354084166e-314,13103,"港区№28遺跡",35.65836343,139.7462486,"0","0","0","1","0","0","0","0","0"
6.47374359024823e-314,13103,"紅葉館内貝塚遺跡",35.65865633,139.7454246,"0","1","1","1","0","0","0","0","0"
6.47374363965479e-314,13103,"港区№30遺跡",35.661404,139.740219,"0","1","0","0","0","0","0","0","0"
6.47374368906136e-314,13103,"増上寺下屋敷跡遺跡",35.65899265,139.7396279,"0","1","0","0","0","0","0","1","0"
6.47374373846792e-314,13103,"米沢藩上杉家・臼杵藩稲葉家屋敷跡",35.661404,139.740219,"0","0","0","0","0","0","0","1","0"
6.47374378787448e-314,13103,"港区№33遺跡",35.661404,139.740219,"0","0","0","1","0","0","0","0","0"
6.47374383728105e-314,13103,"麻布小学校校庭遺跡",35.661404,139.740219,"0","0","0","0","0","0","0","1","0"
6.47374388718168e-314,13103,"長昌寺跡遺跡",35.6635543,139.7302167,"0","0","0","0","0","0","0","1","0"
6.47374388767575e-314,13103,"長昌寺跡遺跡",35.66358219,139.7295644,"0","0","0","0","0","0","0","1","0"
6.47374393609418e-314,13103,"港区№36遺跡",35.66153105,139.7316628,"0","0","0","1","0","0","0","0","0"
6.47374398550074e-314,13103,"港区№37遺跡",35.65765368,139.73168,"0","0","1","0","0","0","0","0","0"
6.47374403490731e-314,13103,"港区№38遺跡",35.66043017,139.7256352,"0","1","0","0","0","0","0","0","0"
6.47374408431387e-314,13103,"港区№39遺跡",35.66107175,139.7240903,"0","1","0","0","0","0","0","0","0"
6.47374413372044e-314,13103,"港区№40遺跡",35.65945386,139.72076,"0","1","0","0","0","0","0","0","0"
6.473744183127e-314,13103,"港区№41遺跡",35.65772341,139.7280751,"0","1","0","0","0","0","0","0","0"
6.47374423253357e-314,13103,"港区№42遺跡",35.65678891,139.7324353,"0","1","0","0","0","0","0","0","0"
6.47374428194013e-314,13103,"港区№43遺跡",35.65443168,139.7270451,"0","1","0","0","0","0","0","0","0"
6.4737443313467e-314,13103,"港区№44遺跡",35.65494777,139.7296029,"0","1","0","0","0","0","0","0","0"
6.47374438075326e-314,13103,"港区№45遺跡",35.65480829,139.7310105,"0","1","0","0","0","0","0","1","0"
6.47374443015982e-314,13103,"港区№46遺跡",35.65346924,139.7326756,"0","1","0","0","0","0","0","0","0"
6.47374447956639e-314,13103,"陸奥盛岡藩南部家屋敷跡遺跡",35.65233941,139.7268048,"0","0","0","0","0","0","0","1","0"
6.47374452897295e-314,13103,"港区№48遺跡",35.65146064,139.7260323,"0","1","0","0","0","0","0","0","0"
