240-400	五領	古墳前期	田端不動坂遺跡 たばたふどうさかいせき	東京都北区田端1-23-9,1-21-5,1-24-15,1-27-7,1-23-5	集落	35.73517609	139.7623205	22.8～23.5
100-240	弥生町	弥生後期後半	田端西台通 たばたにしだいどおりいせき	東京都北区田端5-12-8,4-19-13,3-25-17,5-5-3	集落・墓地	35.73517577	139.7567653	23.5～24
100-240	弥生町	弥生後期後半	田端不動坂遺跡 たばたふどうさかいせき	東京都北区田端1-20-30,1-23-11,1-30-15,１-28-5		35.76322816	139.7620412	23.5～24.5
240-400	五領式	古墳初頭	田端不動坂遺跡 たばたふどうさかいせき	東京都北区田端1-20-30,1-23-11,1-30-15,１-28-5		35.76322816	139.7620412	23.5～24.5
240-400	五領式	古墳前期末	田端不動坂 たばたふどうさか	東京都北区田端1-20-30,東京都北区田端1-23-11,東京都北区田端1-30-15,東京都北区田端1-28-5	集落	35.76322816	139.7620412	23.5～24.5
100-240		弥生後期後半	田端町遺跡 たばたちょういせき	東京都北区中里2-28,1-33	集落	35.74434108	139.7523207	15.8～15.8
1-400		弥生後期-古墳前期	田端西台通遺跡　第10地点/第11地点/第12地点/第13地点 たばたにしだいどおりいせき	東京都北区田端5-15-8,2-12-14,5-6-4,5-6-3	墓	35.73628603	139.7378777	23.5～23.7
100-240		弥生後期後半	田端西台通遺跡 たばたにしだいどおりいせき	東京都北区田端5-10,5-14	集落	35.763228	139.7567638	_～_
240-400	五領式	古墳前期	宮堀北遺跡 みやぼりきたいせき	東京都北区神谷3丁目	祭祀,その他	35.75711693	139.7350994	-1～1
100-240	弥生町	弥生後期後半	中里峽上遺跡　第7地点/第8地点/第9地点/第10地点/第11地点/第12地点/第13地点/第14地点/第15地点/第16地点/第17地点/第18地点/第19地点/第20地点/第21地点/第22地点 なかざとはけうえいせき	東京都北区上中里3-23-21,3-22-2,3-22-5,3-11-10,3-12,3-16-5,3-14-12,3-14-12,3-14-22,上中里1-2-1,1-16-5,1-18-14,西ヶ原1-20-15,1-20-11,1-19-17	集落	35.74017429	139.7312115	23.7～24
100-240	弥生町	弥生後期後半	中里遺跡　東日本旅客鉄道株式会社東京地域本社ビル地点 なかざといせき	東京都北区東田端2-20	包蔵地	35.73896413	135.7604443	3.9～4.2
B100-1	宮ノ台式	弥生中期後半	中台畠中遺跡 なかだいはたなかいせき	東京都板橋区中台2-43	集落	35.77461339	139.6823252	21.2～22
1-240		弥生後期	中台畠中遺跡 なかだいはたなかいせき	東京都板橋区中台2-43	集落	35.77461339	139.6823252	21.2～22
240-400	五領式	古墳前期	中台畠中遺跡 なかだいはたなかいせき	東京都板橋区中台2-43	集落	35.77461339	139.6823252	21.2～22
200-400		弥生終末-古墳初頭	中郷遺跡 なかごういせき	東京都八王子市長房町588ほか	集落	35.65267315	139.2918077	160.5～161.8
200-400		弥生終末-古墳初頭	中宮遺跡 _	東京都練馬区早宮3-15	集落	35.74822682	139.6526067	38.8～38.8
1-240		弥生後期	筑土八幡町遺跡2 つくどはちまんちょういせき	東京都新宿区筑土八幡町5-13	包含地	35.70351201	139.7395454	10～10
			池之端七軒町遺跡 いけのはたしちけんちょういせき	東京都台東区池端2-1	包含地	35.71017876	139.7675986	_～_
200-240?,240-700		報告書弥生終末　？,古墳中期か	滝山高燥遺跡 たきやまたかそういせき	東京都八王子市滝山町1-411ほか	集落	35.68322649	139.3390249	134～134
240-400	五領式	古墳前期	大橋遺跡 おおはしいせき	東京都目黒区大橋2-17	集落	35.65323841	139.6801082	32.3～32.7
240-400	五領式	古墳前期	多摩ニュータウンNo.945遺跡 たまにゅーたうんなんばあ945いせき	東京都町田市小山28号2971	散布地	35.60379181	139.3656922	148～161
B500-B100		弥生前期後葉-中期前葉	多摩ニュータウンNo.939遺跡 たまにゅうたうんなんばーきゅひゃくさんじゅうきゅういせき	東京都町田市小山24号2723他	集落	35.60268087	139.3698585	144～159
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.939遺跡 たまにゅうたうんなんばーきゅひゃくさんじゅうきゅういせき	東京都町田市小山24号2723他	集落	35.60268087	139.3698585	144～159
B2500-B2000	堀之内式	縄文後期前葉	多摩ニュータウンNo.939遺跡 たまにゅうたうんなんばあ939いせき	東京都町田市小山24号2723他	集落	35.60268087	139.3698585	130～163
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.939遺跡 たまにゅうたうんなんばあ939いせき	東京都町田市小山24号2723他	集落	35.60268087	139.3698585	130～163
B500-B100		弥生前期後葉-中期前葉	多摩ニュータウンNo.938遺跡 たまにゅーたうんなんばあ938いせき	東京都町田市小山20号2266、2267	集落	31.99277778		135～162
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.938遺跡 たまにゅーたうんなんばあ938いせき	東京都町田市小山20号2266、2267	集落	31.99277778		135～162
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.926遺跡 たまにゅうたうんなんばー926いせき	東京都町田市小山18号2219		35.60101448	139.3740249	131～151
B2500-B2000	堀之内式	縄文後期前葉	多摩ニュータウンNo.194遺跡 たまにゅーたうんなんばー194いせき	東京都町田市小山13号1843-1他	散布地	35.59712624	139.3834687	142.1～153
B2000-B1500	加曽利B式	縄文後期中葉	多摩ニュータウンNo.194遺跡 たまにゅーたうんなんばー194いせき	東京都町田市小山13号1843-1他	散布地	35.59712624	139.3834687	142.1～153
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.926遺跡 たまにゅーたうんなんばあ926いせき	東京都町田市小山18-2他	集落	35.60101448	139.3743027	131～153
B100-1	宮ノ台式	弥生中期後半	多摩ニュータウンNo.926遺跡 たまにゅーたうんなんばあ926いせき	東京都町田市小山18号	集落	35.60045894	139.3712474	125～140
B200-B100	条痕文	弥生中期前半	多摩ニュータウンNo.918遺跡 たまにゅうたうんなんばあ918いせき	東京都町田市小山16号2068他	集落	35.60129234	139.37958	138～151
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.918遺跡 たまにゅうたうんなんばあ918いせき	東京都町田市小山16号2068他	集落	35.60129234	139.37958	138～151
240-400	五領式	古墳前期	多摩ニュータウンNo.918遺跡 たまにゅうたうんなんばあ918いせき	東京都町田市小山16号2068他	集落	35.60129234	139.37958	138～151
240-400	五領式	古墳前期	多摩ニュータウンNo.916遺跡 たまにゅーたうんなんばあ916いせき	東京都町田市小山17号2084	散布地	35.59795942	139.3801356	145～153
B200-B100	条痕文	弥生中期前半	多摩ニュータウンNo.903遺跡 たまにゅうたうんなんばあ903いせき	東京都八王子市堀之内25-2001他	散布地	35.63184471	139.3937442	93～100
B200-B100	条痕文	弥生中期前半	多摩ニュータウンNo.847遺跡 たまにゅーたうんなんばー847いせき	東京都八王子市鑓水	散布地	35.63601009	139.3576359	158～160
100-150		弥生後期中葉	多摩ニュータウンNo.846遺跡 たまにゅうたうんなんばー846いせき	東京都八王子市鑓水2408	集落	35.60712472	139.3573594	152～163
B200-B100	条痕文	弥生中期前葉	多摩ニュータウンNo.799遺跡 たまにゅーたうんなんばあ799いせき	東京都八王子市越野106-1他	散布地	35.62934496	139.3915223	91～97
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.688B遺跡 たまにゅーたうんなんばあ688Bいせき	東京都八王子市別所150他	散布地	35.61934636	139.3973556	104～106
B200-B100		弥生中期前葉	多摩ニュータウンNo.652遺跡 たまにゅーたうんなんばあ652いせき	東京都八王子市南大沢2206-1	散布地	35.61212465	139.3862457	114.5～115.5
240-400	五領式	古墳前期	多摩ニュータウンNo.652遺跡 たまにゅーたうんなんばあ652いせき	東京都八王子市南大沢2206-1	散布地	35.61212465	139.3862457	114.5～115.5
B200-240	時期不明	弥生	多摩ニュータウンNo.643遺跡 たまにゅうたうんなんばあ643いせき	東京都八王子市南大沢2000	散布地	35.60018158	139.3870794	155～160
1-400		弥生後期-古墳前期	多摩ニュータウンNo.623遺跡 たまにゅーたうんなんばあ623いせき	東京都八王子市松木899他	散布地	35.62073481	139.3887451	95～105
B200-B100		弥生中期前葉	多摩ニュータウンNo.457遺跡 たまにゅーたうんなんばあ457いせき	東京都多摩市鶴牧771-2、722、766?768、高岸2046、2124?2129	散布地	35.62323527	139.4187426	103～106
B200-B100	条痕文	弥生中期前葉	多摩ニュータウンNo.410遺跡 たまにゅーたうんなんばあ410いせき	東京都八王子市別所817他	散布地	35.61934638	139.3979111	98～100
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.345遺跡 たまにゅーたうんなんばあ345いせき	東京都町田市小山17号	集落	35.5999035	139.3637481	126～138
1-240		弥生後期	多摩ニュータウンNo.345遺跡 たまにゅーたうんなんばあ345いせき	東京都町田市小山17号	集落	35.5999035	139.3637481	126～138
B200-B100	条痕文	弥生中期前葉	多摩ニュータウンNo.344遺跡 たまにゅうたうんなんばあ344いせき	東京都町田市小山18号19番他	集落	35.60212549	139.3759691	134～148
240-400	五領式	古墳前期	多摩ニュータウンNo.344遺跡 たまにゅうたうんなんばあ344いせき	東京都町田市小山18号19番他	集落	35.60212549	139.3759691	134～148
B200-B100	条痕文	弥生中期前葉	多摩ニュータウンNo.339遺跡 たまにゅうたうんなんばあ339いせき	東京都町田市小山24号2750他	散布地	35.60101443	139.3668033	125～150
B100-1	宮ノ台式並行	弥生中期後葉	多摩ニュータウンNo.339遺跡 たまにゅうたうんなんばあ339いせき	東京都町田市小山24号2750他	散布地	35.60101443	139.3668033	125～150
240-400	五領式	古墳前期	多摩ニュータウンNo.339遺跡 たまにゅうたうんなんばあ339いせき	東京都町田市小山24号2750他	散布地	35.60101443	139.3668033	125～150
B200-B100	条痕文	弥生中期前葉	多摩ニュータウンNo.328・954遺跡 たまにゅうたうんなんばあさんびゃくにじゅうはち・きゅうひゃくごじゅうよんいせき	東京都町田市小山32号3443-1,2ほか,小山32号3402-12ほか	包蔵地	35.60406956	139.3576373	159～182
B200-B100	条痕文	弥生中期前葉	多摩ニュータウンNo.327・329・330遺跡 たまにゅうたうんなんばあ327・329・330いせき	東京都町田市小山32号3424-1?2,3437-1,八王子市鑓水他	散布地	35.60490278	139.3576373	160～182.5
B200-B100	条痕文	弥生中期前半	多摩ニュータウンNo.313遺跡 たまにゅうたうんなんばあさんびゃくじゅうさんいせき	東京都町田市小山36号3990,3991ほか	散布地	35.6057362	139.3498602	142～175
240-400	五領式	古墳前期	多摩ニュータウンNo197遺跡 たまにゅーたうんなんばあ197いせき	東京都町田市小山13号1874他	集落	35.59907047	139.3837464	128～148.5
B200-B100	条痕文	弥生中期前半	多摩ニュータウンNo.2遺跡 たまにゅうたうんなんばあ2いせき	東京都稲城市百村3号	集落	35.63601468	139.4956807	66.5～79
B100-1	宮ノ台式並行	弥生中期後半	多摩ニュータウンNo.245遺跡 たまにゅーたうんなんばー245いせき	東京都町田市小山28号3005ほか	散布地	35.6007367	139.3643035	163～163
B380-B350	条痕文	弥生前期末葉	多摩ニュータウンNo.211・930・931遺跡 たまにゅーたうんいせきなんばー211・930・931いせき	東京都町田市小山20-2305、18-2217、18-2216	散布地	35.58712729	139.3709701	157.1～157.1
B200-B100	条痕文	弥生中期前葉	多摩ニュータウンNo.125遺跡 たまにゅうたうんなんばあ125いせき	東京都八王子市松木205他	集落	35.62323465	139.3934668	92～112
240-400	五領式	古墳前期	多摩ニュータウンNo.125遺跡 たまにゅうたうんなんばあ125いせき	東京都八王子市松木205他	集落	35.62323465	139.3934668	92～112
100-150		弥生後期中葉	赤塚下寺家番匠免第3地点 あかつかしもじけばんしょうめんだいさんちてん	東京都板橋区赤塚6-40	集落	35.77905649	139.6470504	28.7～29
100-400		弥生後期後半-古墳前期	赤塚下寺家番匠免第3地点 あかつかしもじけばんしょうめんだいさんちてん	東京都板橋区赤塚6-40	墓	35.77905649	139.6470504	28.7～29
1-400	不明	弥生後期-古墳前期	赤塚下寺家番匠免遺跡　第1地点 あかつかしもじけばんじょうめんいせき	東京都板橋区赤塚7-26	集落	35.77988975	139.6489946	_～_
B2500-B2300	称名寺式	縄文後期初頭	赤羽台遺跡　国立王子病院跡地地区 あかばねだいいせき　こくりつおうじびょういんあとちちく	東京都北区赤羽台4-17	集落	35.78183533	139.7112115	19.8～20
