JASID,自治体コード,遺跡番号,種類,所在地（代表地番）,時代,名称・備考,旧市番号,地図,経度,緯度
14134006100,14134,高津区No.61,集落跡,高津区末長1-40,弥生　古墳　奈良,末長姿見台遺跡,宮崎-4,52,139.606254,35.59255901
14134006200,14134,高津区No.62,古墳,高津区梶ヶ谷2-1-6,古墳,法界塚古墳,宮崎-22,52,139.6035074,35.59109329
14134006300,14134,高津区No.63,古墳,高津区梶ヶ谷2-1-9,古墳,清水谷古墳（１号墳）,宮崎-23,52,139.6030439,35.59043022
14134006400,14134,高津区No.64,散布地,高津区梶ヶ谷2-10,古墳,,宮崎-24,52,139.603043,35.588848
14134006500,14134,高津区No.65,集落跡,高津区梶ヶ谷4-14,弥生　古墳　奈良,梶ヶ谷神明社上遺跡,宮崎-10,52,139.602127,35.586067
14134006600,14134,高津区No.66,集落跡,高津区末長1-41,縄文　古墳　奈良　平安,末長向台遺跡,宮崎-5,52,139.6068376,35.59047908
14134006700,14134,高津区No.67,散布地,高津区新作1-23,旧石器,,宮崎-21,52,139.6082817,35.58732785
14134006800,14134,高津区No.68,古墳,高津区梶ヶ谷3-17,古墳,西福寺古墳,宮崎-6,52,139.607468,35.586037
14134006900,14134,高津区No.69,集落跡,高津区新作1-9,縄文　古墳　奈良　平安,大原遺跡・新作小高台遺跡,末長-9,52,139.6106806,35.5874692
14134007000,14134,高津区No.70,集落跡,高津区末長2-25,弥生　古墳,末長遺跡,末長-8,48,139.6134607,35.58958059
14134007100,14134,高津区No.71,集落跡,高津区末長2-27,奈良　平安,薬師院裏遺跡,末長-10,48,139.6139607,35.58755119
14134007200,14134,高津区No.72,集落跡,高津区新作1-11,縄文　弥生　奈良　平安,新作小高台遺跡,末長-11,52,139.612457,35.586475
14134007300,14134,高津区No.73,集落跡,高津区新作1-19,縄文　弥生　奈良　平安,新作池ノ谷遺跡,末長-14,52,139.6103545,35.58495636
14134007400,14134,高津区No.74,散布地,高津区梶ヶ谷5-11,縄文　弥生　古墳　奈良　平安,,馬絹-1,52,139.6079856,35.58330901
14134007500,14134,高津区No.75,集落跡,高津区新作2-3ほか,縄文　弥生　古墳　奈良　平安,,千年-13,48,139.612686,35.583229
14134007600,14134,高津区No.76,集落跡 その他の墓,高津区蟹ヶ谷字池ノ里ほか,縄文　弥生　古墳,井田中原追跡,井田-13,49,139.633698,35.562927
14134007700,14134,高津区No.77,集落跡,高津区新作2-15ほか,縄文　弥生　古墳　奈良　平安,新作二丁目遺跡,千年-14,48,139.614258,35.582893
14134007800,14134,高津区No.78,古墳,高津区新作2-7,古墳,新作古墳,千年-20,48,139.613129,35.582829
14134007900,14134,高津区No.79,集落跡  貝塚,高津区新作3-13ほか,縄文　弥生,新作貝塚・新作八幡台遺跡・（仏手塚）,末長-12,48,139.616745,35.586159
14134008000,14134,高津区No.80,古墳,高津区新作3-6,古墳,新作八幡神社裏古墳,末長-13,48,139.61795,35.585133
14134008100,14134,高津区No.81,横穴墓,高津区新作3-14ほか,古墳,間際根横穴墓群,末長-1,48,139.618195,35.586067
14134008200,14134,高津区No.82,散布地,高津区千年1243ほか,弥生　古墳,,末長-17,48,139.6172981,35.58297599
14134008300,14134,高津区No.83,集落跡,高津区千年1177ほ,縄文　弥生　古墳　奈良　平安,千年-８遺跡,千年-8,48,139.6188345,35.58168461
14134008400,14134,高津区No.84,横穴墓,川崎市高津区東野川2-13,古墳,,久末-10,49,139.6142797,35.56967631
14134008500,14134,高津区No.85,集落跡,川崎市高津区東野川2-15,縄文　弥生　古墳　奈良　平安,野川南耕地遺跡,久末-8,49,139.6148247,35.56916316
14134008600,14134,高津区No.86,散布地,高津区久末465ほか,縄文　弥生,,久末-7,49,139.6182428,35.56119925
14134008700,14134,高津区No.87,散布地,高津区久末504ほか,縄文,,久末-6,49,139.6201139,35.56258871
14134008800,14134,高津区No.88,散布地,高津区久末1508ほか,縄文,,久末-3,49,139.622028,35.56290989
14134008900,14134,高津区No.89,散布地,高津区久末1580ほか,縄文　弥生,,久末-2,49,139.6252512,35.5629639
14134009000,14134,高津区No.90,散布地,高津区久末1671ほか,縄文　弥生,,久末-1,49,139.62504,35.564891
14134009100,14134,高津区No.91,散布地,高津区久末671ほか,縄文　弥生,久末伊勢原遺跡,久末-5,49,139.619659,35.567467
14134009200,14134,高津区No.92,集落跡,高津区久末1229ほか,縄文　弥生,久末谷遺跡,久末-4,49,139.6201872,35.5701831
14134009300,14134,高津区No.93,横穴墓,高津区千年390付近,古墳,,千年-3,49,139.623229,35.57967507
