JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
13119012400,13119,124,むかいはらいせき,向原遺跡,板橋区 向原一丁目　 大谷口二丁目,[旧石器時代][縄文時代（草創期・前期）][弥生時代（後期）][近世],包蔵地・集落,[旧石器時代]ブロック　[縄文時代]炉　ピット　[弥生時代]住居　ピット　[近世]土坑　溝状遺構,ナイフ形石器　尖頭器　石核　縄文土器　打斧　有舌尖頭器　石鏃　石錐　楔形石器　磨石　スタンプ形石器　土製けつ状耳飾　土製耳飾　土製品　弥生土器　土師器　紡錘車　陶磁器　瓦　砥石　金属製品　銭貨
13119012500,13119,125,,板橋区№125遺跡,板橋区 向原一丁目,[縄文時代（早期・中期）],包蔵地,,
13119012600,13119,126,,板橋区№126遺跡,板橋区 向原二丁目,[縄文時代（早期）][古墳時代],包蔵地,,縄文土器　土師器
13119012700,13119,127,,板橋区№127遺跡,板橋区 向原一丁目　 向原三丁目,[縄文時代（中期～後期）],包蔵地,,縄文土器
13119012800,13119,128,,板橋区№128遺跡,板橋区 向原三丁目,[縄文時代（中期～後期）][古墳時代],包蔵地,,縄文土器
13119012900,13119,129,,板橋区№129遺跡,板橋区 大谷口二丁目,[縄文時代],包蔵地,,縄文土器
13119013000,13119,130,,板橋区№130遺跡,板橋区 大谷口上町,[縄文時代（後期）],包蔵地,,縄文土器
13119013100,13119,131,,板橋区№131遺跡,板橋区 弥生町,[縄文時代],包蔵地,,石器
13119013200,13119,132,,板橋区№132遺跡,板橋区 高島平四丁目,[平安時代],包蔵地,,土師器　須恵器
13119013300,13119,133,はやせまえ／とくまるがはらおおはしいせき,早瀬前／徳丸原大橋遺跡,板橋区 高島平六丁目　 新河岸三丁目,[縄文時代（早期・中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,[弥生時代]溝　[古墳時代]方形周溝墓　[平安時代]掘立柱建物　井戸　水田　[平安時代][中世][近世]溝,弥生土器　土師器　須恵器　石器　勾玉　石製模造品　木製品　木材　柱根　植物遺体　動物遺体　陶磁器　銭貨
13119013400,13119,134,ふなどいせき,舟渡遺跡,板橋区 舟渡一丁目　 舟渡二丁目　 舟渡三丁目,[縄文時代（前期～中期）][弥生時代（後期）][古墳時代][平安時代][中世][近世],包蔵地・集落,[平安時代]住居　溝　[中世]柱穴　井戸　大溝　掘立柱建物跡　[古墳時代]方形周溝墓　溝,縄文土器（縄文前～中期）　弥生土器（弥生後期）　土師器　須恵器　木製品　陶磁器　根碑　石製品　木製品　土製品　石器　鉄製品　　土器　古銭　金属製品
13119013500,13119,135,,板橋区№135遺跡,板橋区 赤塚四丁目,［中世］［近世］,その他（塚）,,
13119013600,13119,136,,板橋区№136遺跡,板橋区 赤塚五丁目,[時代不明],塚,,
13119013700,13119,137,,板橋区№137遺跡,板橋区 赤塚五丁目,[時代不明],塚,,
13119013800,13119,138,みょうけんづか,妙見塚,板橋区 赤塚五丁目,[時代不明],塚,,
13119013900,13119,139,,板橋区№139遺跡,板橋区 赤塚六丁目,[時代不明],塚,,
13119014000,13119,140,,板橋区№140遺跡,板橋区 赤塚七丁目,[時代不明],塚,,
13119014100,13119,141,,板橋区№141遺跡,板橋区 赤塚八丁目,［古墳時代］,古墳,,
13119014200,13119,142,,板橋区№142遺跡,板橋区 大門,[時代不明],塚,,
13119014300,13119,143,,板橋区№143遺跡,板橋区 大門,[時代不明],塚,,
13119014400,13119,144,,板橋区№144遺跡,板橋区 徳丸六丁目,[時代不明],塚,,
13119014500,13119,145,あすかづか,飛鳥塚,板橋区 西台一丁目,[時代不明],塚,,
13119014600,13119,146,,板橋区№146遺跡,板橋区 西台二丁目,[時代不明],塚,,
13119014700,13119,147,,板橋区№147遺跡,板橋区 西台二丁目,[時代不明],塚,,
13119014800,13119,148,,板橋区№148遺跡,板橋区 西台二丁目,[時代不明],塚,,
13119014900,13119,149,,板橋区№149遺跡,板橋区 若木二丁目,[時代不明],塚,,
13119015000,13119,150,,板橋区№150遺跡,板橋区 中台二丁目,[時代不明],台場もしくは塚,,
13119015100,13119,151,,板橋区№151遺跡,板橋区 中台三丁目,[古墳時代],古墳,,円筒埴輪
13119015200,13119,152,,板橋区№152遺跡,板橋区 中台三丁目,[時代不明],塚,,
13119015300,13119,153,,板橋区№153遺跡,板橋区 中台三丁目,[時代不明],塚,,
13119015400,13119,154,,板橋区№154遺跡,板橋区 前野町四丁目,[時代不明],塚,,
13119015500,13119,155,,板橋区№155遺跡,板橋区 前野町五丁目,[時代不明],塚,,
13119015700,13119,157,,板橋区№157遺跡,板橋区 志村二丁目,[時代不明],塚or古墳,,
13119015800,13119,158,おいせづかこふん,お伊勢塚古墳,板橋区 志村二丁目,[古墳時代],古墳,,
13119015900,13119,159,,板橋区№159遺跡,板橋区 志村二丁目,[時代不明],塚,,
13119016100,13119,161,,板橋区№161遺跡,板橋区 小豆沢三丁目,[時代不明],塚,,
13119016200,13119,162,びくづか,びく塚,板橋区 小豆沢四丁目,[時代不明],塚,,
13119016300,13119,163,あずさわかんのんづかこふん,小豆沢観音塚古墳,板橋区 小豆沢四丁目,[古墳時代],墳墓,,
13119016400,13119,164,,板橋区№164遺跡,板橋区 氷川町,[時代不明],塚,,
13119016500,13119,165,,板橋区№165遺跡,板橋区 仲宿,[中世],地下式壙,[中世]地下式土坑,
13119016600,13119,166,ねこづか,猫塚,板橋区 小茂根四丁目,[時代不明],塚,,
13119016700,13119,167,,板橋区№167遺跡,板橋区 小茂根五丁目,[時代不明],塚,,
13119016800,13119,168,たかしまだいらきたいせき,高島平北遺跡,板橋区 高島平九丁目,[古墳時代]［奈良時代］［平安時代］［中世］[近世],集落,[古墳時代]竪穴状遺構　土坑　集石　祭祀遺構　[奈良時代][平安時代]住居　[近世]水田　[時代不明]井戸　溝　木桶,土師器　玉類　石製品　木製品　木材　動物遺体　陶磁器　土製品　瓦　石製品　漆器　銭貨
13119016900,13119,169,,板橋区№169遺跡,板橋区 赤塚六丁目,[縄文時代（早期）],包蔵地,,縄文土器
13119017000,13119,170,なかじゅくいせき,仲宿遺跡,板橋区 仲宿,[縄文時代（早期）][古墳時代][中世][近世],包蔵地,[中世]井戸　溝　[近世]建物　土坑,陶磁器
13119017100,13119,171,にしはらいせき,西原遺跡,板橋区 双葉町,[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）],包蔵地・集落,[旧石器時代]ブロック　礫群　[縄文時代]住居　土坑　[弥生時代]住居　土坑,ナイフ形石器　石核　弥生土器
13119017200,13119,172,くぼたいせき,久保田遺跡,板橋区 栄町　 中板橋,[旧石器時代][縄文時代（草創・前期～後期）][弥生時代（前期・後期）][奈良時代][平安時代][中世][近世],包蔵地・集落,[弥生時代][中世][近世]土坑　[中世]掘立柱建物　[近世]溝　[時代不明]井戸,縄文土器　弥生土器
13119017300,13119,173,ひがしまえいせき,東前遺跡,板橋区 板橋二丁目,[縄文時代（後期）],包蔵地,,縄文土器
13119017400,13119,174,やまのうえいせき,山之上遺跡,板橋区 板橋一丁目,[縄文時代（中期）][近世],集落,[縄文時代]土器埋設土坑　土坑　焼土跡　[近世]地下室　溝　土坑,縄文土器　陶磁器　土師質土器　煙管　銭貨
13119017500,13119,175,さかしたさんちょうめいせき,坂下三丁目遺跡,板橋区 坂下三丁目,[縄文時代（前期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,[弥生時代（後期）]～［古墳時代（前期）］土坑　井戸跡　溝跡,縄文土器　弥生土器　[古墳時代（前期）]土師器　[奈良・平安時代]土師器・須恵器　[中世]土器・陶器
13119017600,13119,176,はすねさんちょうめいせき,蓮根三丁目遺跡,板橋区 蓮根三丁目,[古墳時代][奈良時代][平安時代],包蔵地・集落,［古墳時代（前期）］～[奈良時代][平安時代]遺跡,[古墳時代（前期）]土師器　[奈良・平安時代]土師器　須恵器　木製品
